,Unnamed: 0,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
356,357,123338900.0,,,,,Michael G. Wilson,Michael G. Wilson,,James Bond,A View to a Kill,50327960.0,,1985-05-24 00:00:00,131.0,PG,Action
357,358,182733800.0,,,,,,,,James Bond,The Spy Who Loved Me,46838673.0,,1977-07-13 00:00:00,125.0,PG,Action
358,359,231048500.0,,,,,,,,James Bond,Diamonds Are Forever,43819547.0,,1971-12-17 00:00:00,120.0,PG,Action
359,360,312364700.0,,,,,,,,James Bond,You Only Live Twice,43084787.0,,1967-06-13 00:00:00,117.0,PG,Action
360,361,,,,,,,,,James Bond,Live and Let Die,35377836.0,,1973-06-27 00:00:00,121.0,PG,Action
361,362,231969700.0,,,,,,,,James Bond,"From Russia, with Love",24796765.0,,1964-04-08 00:00:00,115.0,PG,Action
362,363,139533900.0,,,,,,,,James Bond,On Her Majesty's Secret Service,22774493.0,,1969-12-18 00:00:00,142.0,PG,Action
363,364,97570300.0,,,,,,,,James Bond,The Man with the Golden Gun,20972000.0,,1974-12-18 00:00:00,125.0,PG,Action
364,365,164450800.0,,,,,,,,James Bond,Dr. No,16067035.0,,1963-05-08 00:00:00,110.0,PG,Action
365,366,,,7000000,,Steven Spielberg,,,John Williams,Jaws,Jaws,260000000.0,,1975-06-20 00:00:00,125.0,PG,Horror
366,367,13029700.0,302052900.0,,,,,,,Jaws,Jaws 2,4028735.0,81766007.0,1980-02-15 00:00:00,117.0,PG,Unknown
367,368,687728000.0,,150000000,"['Nick Robinson', 'Chris Pratt', 'Bryce Dallas Howard', 'Jake Johnson', ""Vincent D'Onofrio"", 'Irrfan Khan', 'Judy Greer']",Colin Trevorrow,,,Michael Giacchino,Jurassic Park,Jurassic World,652270625.0,,2015-06-12 00:00:00,124.0,PG-13,Sci-Fi
368,369,749990800.0,799721000.0,63000000,"['Sam Neill', 'Jeff Goldblum', 'Laura Dern', 'Richard Attenborough', 'Samuel L. Jackson*']",Steven Spielberg,David Koepp,,John Williams,Jurassic Park,Jurassic Park,357067947.0,402453882.0,1993-06-11 00:00:00,127.0,PG-13,Sci-Fi
